prop_starrating,prop_review_score,prop_brand_bool,prop_location_score,prop_accesibility_score,prop_log_historical_price,price_usd,promotion_flag
4,5,0,3,0,0,71,1
3,4,0,3,0,0,45,0
4,5,0,3,0,0,92,1
4,4,1,2,0,0,152,1
4,5,0,2,0,0,195,1
3,3,0,3,0,0,45,1
4,5,1,3,0,0,105,0
4,5,1,2,0,0,85,0
4,5,1,3,0,0,100,0
3,4,1,3,0,0,82,0
4,4,1,3,0,0,105,0
3,3,1,3,0,0,49,1
3,4,0,3,0,0,68,0
3,4,1,2,0,0,56,0
3,4,0,1,0,0,64,0
3,5,1,0,0,0,106,0
3,3,0,2,0,0,52,0
3,4,1,2,0,0,40,0
3,4,1,1,0,0,105,0
4,4,1,1,0,0,112,1
4,3,0,1,0,0,140,1
4,3,1,2,0,0,114,1
3,4,1,2,0,0,51,0
4,3,1,2,0,0,86,0
3,5,0,2,0,0,48,0
3,4,1,2,0,0,50,0
3,4,1,2,0,0,110,0
